date_reported,date_occ,area_name,crime_cd_description,victim_age,victim_sex,premis_description,weapon_description,status_description,location,lat,lon,time,daytime,day_occured,day_reported,report_delay,report_delay_bin,case,victim
2021-01-16,2021-01-16,Southeast,robbery,0,no victim,mini-mart,"strong-arm (hands, fist, feet or bodily force)",Invest Cont,800 w  rosecrans                    av,33.9019,-118.2898,03:40:00,early morning,Saturday,Saturday,0 days,0 days,burglary/theft/robbery,no
2021-01-16,2021-01-07,Harbor,burglary from vehicle,59,male,street,no weapon,Invest Cont,900 w  oliver                       st,33.7468,-118.2972,22:00:00,late night,Thursday,Saturday,9 days,9 days,vehicle burglary/theft,yes
2021-01-16,2021-01-15,Van Nuys,vehicle - stolen,0,no victim,street,no weapon,Invest Cont,15200    sherman                      wy,34.2013,-118.4644,21:00:00,late night,Friday,Saturday,1 days,1 days,vehicle burglary/theft,no
2021-01-17,2021-01-14,Newton,"vandalism - felony ($400 & over, all church vandalisms)",35,female,"vehicle, passenger/truck",no weapon,Invest Cont,1100 s  san pedro                    st,34.0345,-118.2527,13:00:00,early afternoon,Thursday,Sunday,3 days,3 days,vandalism,yes
2021-01-17,2021-01-17,Mission,robbery,28,male,"diy center (lowe's,home depot,osh,contractors warehouse)",verbal threat,Adult Arrest,winnetka                     st,34.2153,-118.4409,12:22:00,early afternoon,Sunday,Sunday,0 days,0 days,burglary/theft/robbery,yes
2021-01-18,2021-01-18,Rampart,robbery,24,male,sidewalk,semi-automatic pistol,Adult Arrest,600    lucas                        av,34.0537,-118.2644,02:15:00,midnight,Monday,Monday,0 days,0 days,burglary/theft/robbery,yes
2021-01-18,2021-01-18,N Hollywood,"assault with deadly weapon, aggravated assault",56,male,driveway,club/bat,Adult Arrest,12200    hillslope                    st,34.1415,-118.3987,14:00:00,afternoon,Monday,Monday,0 days,0 days,battery/assault,yes
2021-01-19,2021-01-19,Northeast,intimate partner - simple assault,31,female,yard (residential/business),"strong-arm (hands, fist, feet or bodily force)",Adult Other,2900    jefferies                    av,34.0869,-118.2219,13:10:00,early afternoon,Tuesday,Tuesday,0 days,0 days,battery/assault,yes
2021-01-21,2021-01-02,Pacific,burglary,45,male,single family dwelling,no weapon,Invest Cont,2700 s  barrington                   av,34.0247,-118.4454,13:00:00,early afternoon,Saturday,Thursday,19 days,19 days,burglary/theft/robbery,yes
2021-01-21,2021-01-21,Southeast,robbery,23,male,parking lot,hand gun,Adult Arrest,113th                        st,33.9324,-118.2309,17:45:00,early evening,Thursday,Thursday,0 days,0 days,burglary/theft/robbery,yes
2021-01-22,2021-01-18,West LA,burglary from vehicle,30,female,garage/carport,no weapon,Invest Cont,1600    camden                       av,34.0487,-118.4426,17:30:00,early evening,Monday,Friday,4 days,4 days,vehicle burglary/theft,yes
2021-01-23,2021-01-23,Van Nuys,burglary,83,male,single family dwelling,no weapon,Invest Cont,13300    chandler                     bl,34.1684,-118.4232,02:31:00,midnight,Saturday,Saturday,0 days,0 days,burglary/theft/robbery,yes
2021-01-24,2021-01-24,Mission,"assault with deadly weapon, aggravated assault",21,male,street,hand gun,Adult Arrest,15100    nurmi                        st,34.2987,-118.462,22:05:00,late night,Sunday,Sunday,0 days,0 days,battery/assault,yes
2021-01-24,2021-01-22,Foothill,"letters, lewd  -  telephone calls, lewd",34,female,single family dwelling,no weapon,Invest Cont,haddon                       av,34.2463,-118.4131,15:45:00,afternoon,Friday,Sunday,2 days,2 days,sexual crimes,yes
2021-01-25,2021-01-20,77th Street,theft of identity,44,female,single family dwelling,no weapon,Invest Cont,4500    wesley                       av,34.0016,-118.2878,15:40:00,afternoon,Wednesday,Monday,5 days,5 days,burglary/theft/robbery,yes
2021-01-26,2021-01-25,Harbor,"burglary from vehicle, attempted",34,female,street,no weapon,Invest Cont,10th,33.7352,-118.2879,19:30:00,evening,Monday,Tuesday,1 days,1 days,vehicle burglary/theft,yes
2021-01-26,2021-01-26,Southwest,burglary,50,male,single family dwelling,no weapon,Adult Other,3900 s  budlong                      av,34.0145,-118.298,14:15:00,afternoon,Tuesday,Tuesday,0 days,0 days,burglary/theft/robbery,yes
2021-01-27,2021-01-27,Hollywood,trespassing,26,female,"multi-unit dwelling (apartment, duplex, etc)",unknown weapon/other weapon,Invest Cont,1700 n  highland                     av,34.1016,-118.3387,12:00:00,early afternoon,Wednesday,Wednesday,0 days,0 days,trespassing,yes
2021-01-28,2020-11-19,Newton,"embezzlement, grand theft ($950.01 & over)",0,no victim,other business,no weapon,Invest Cont,1900 s  figueroa                     st,34.0338,-118.2724,10:46:00,morning,Thursday,Thursday,70 days,2 months,burglary/theft/robbery,no
2021-01-28,2021-01-20,Olympic,brandish weapon,45,male,parking lot,knife with blade over 6 inches in length,Invest Cont,900 s  westmoreland                 av,34.0537,-118.2891,13:40:00,early afternoon,Wednesday,Thursday,8 days,8 days,lethal/deadly act,yes
2021-01-28,2021-01-28,Van Nuys,criminal threats - no weapon displayed,64,female,other business,verbal threat,Adult Arrest,magnolia                     bl,34.1649,-118.4499,11:15:00,late morning,Thursday,Thursday,0 days,0 days,threats,yes
2021-01-29,2021-01-29,Southwest,shoplifting - petty theft ($950 & under),20,no victim,"coffee shop (starbucks, coffee bean, peet's, etc.)",no weapon,Invest Cont,3200 s  hoover                       st,34.0268,-118.2896,12:30:00,early afternoon,Friday,Friday,0 days,0 days,burglary/theft/robbery,no
2021-01-30,2021-01-30,West Valley,indecent exposure,23,female,drug store,no weapon,Invest Cont,7400    reseda                       bl,34.2048,-118.536,18:15:00,early evening,Saturday,Saturday,0 days,0 days,sexual crimes,yes
2021-01-30,2021-01-29,Hollenbeck,vehicle - stolen,0,no victim,street,no weapon,Invest Cont,myers,34.0499,-118.2286,18:30:00,early evening,Friday,Saturday,1 days,1 days,vehicle burglary/theft,no
2021-01-31,2021-01-31,Pacific,"assault with deadly weapon, aggravated assault",39,male,beach,stick,Invest Cont,00    rose                         av,33.9946,-118.4805,00:15:00,midnight,Sunday,Sunday,0 days,0 days,battery/assault,yes
2021-01-31,2021-01-31,Southwest,vandalism - misdeameanor ($399 or under),20,no victim,street,no weapon,Invest Cont,budlong                      av,34.0328,-118.2964,01:24:00,midnight,Sunday,Sunday,0 days,0 days,vandalism,no
2021-02-01,2021-02-01,Harbor,intimate partner - simple assault,19,female,street,"strong-arm (hands, fist, feet or bodily force)",Adult Other,1200 e  sandison                     st,33.7942,-118.2491,18:00:00,early evening,Monday,Monday,0 days,0 days,battery/assault,yes
2021-02-01,2021-02-01,Mission,vehicle - stolen,0,no victim,street,no weapon,Invest Cont,13300    maclay                       st,34.2964,-118.4234,07:30:00,morning,Monday,Monday,0 days,0 days,vehicle burglary/theft,no
2021-02-01,2021-02-01,Olympic,brandish weapon,47,male,"multi-unit dwelling (apartment, duplex, etc)",knife with blade 6inches or less,Adult Other,3900 w  8th                          st,34.058,-118.3112,04:20:00,early morning,Monday,Monday,0 days,0 days,lethal/deadly act,yes
2021-02-02,2021-01-25,Mission,criminal threats - no weapon displayed,78,male,tobacco shop,verbal threat,Invest Cont,15500    devonshire                   st,34.261,-118.4698,12:00:00,early afternoon,Monday,Tuesday,8 days,8 days,threats,yes
2021-02-02,2021-01-26,Olympic,burglary from vehicle,33,male,street,no weapon,Invest Cont,s  hoover                       st,34.0498,-118.2842,00:01:00,midnight,Tuesday,Tuesday,7 days,7 days,vehicle burglary/theft,yes
2021-02-03,2021-02-03,Pacific,theft of identity,0,no victim,transportation facility (airport),no weapon,Adult Arrest,200    world way,33.9452,-118.4033,21:15:00,late night,Wednesday,Wednesday,0 days,0 days,burglary/theft/robbery,no
2021-02-05,2021-02-05,Southeast,"theft, person",30,female,street,"strong-arm (hands, fist, feet or bodily force)",Invest Cont,central                      av,33.9295,-118.2542,23:00:00,late night,Friday,Friday,0 days,0 days,burglary/theft/robbery,yes
2021-02-05,2021-02-05,Newton,vehicle - stolen,0,no victim,street,no weapon,Invest Cont,4000    long beach                   av,34.009,-118.243,12:25:00,early afternoon,Friday,Friday,0 days,0 days,vehicle burglary/theft,no
2021-02-05,2021-02-04,N Hollywood,burglary from vehicle,34,male,parking lot,no weapon,Invest Cont,7300    mulholland                   dr,34.1198,-118.3524,15:30:00,afternoon,Thursday,Friday,1 days,1 days,vehicle burglary/theft,yes
2021-02-06,2021-02-06,Newton,theft plain - petty ($950 & under),60,male,mta - blue line - washington,"strong-arm (hands, fist, feet or bodily force)",Invest Cont,1900    long beach                   av,34.0201,-118.2428,17:09:00,early evening,Saturday,Saturday,0 days,0 days,burglary/theft/robbery,yes
2021-02-06,2021-01-31,Hollywood,other miscellaneous crime,49,female,single family dwelling,no weapon,Adult Arrest,5900    willoughby                   av,34.0871,-118.3266,08:30:00,morning,Sunday,Saturday,6 days,6 days,others,yes
2021-02-06,2021-02-05,Mission,theft plain - petty ($950 & under),37,female,"porch, residential",no weapon,Invest Cont,8700    langdon                      av,34.2283,-118.4699,19:30:00,evening,Friday,Saturday,1 days,1 days,burglary/theft/robbery,yes
2021-02-07,2021-02-06,Harbor,criminal homicide,25,male,street,semi-automatic pistol,Adult Arrest,600 w  190th                        st,33.8608,-118.2861,23:15:00,late night,Saturday,Sunday,1 days,1 days,lethal/deadly act,yes
2021-02-07,2021-02-07,West LA,battery - simple assault,26,male,"porch, residential","strong-arm (hands, fist, feet or bodily force)",Invest Cont,11400 n  thurston cir,34.0745,-118.4665,14:00:00,afternoon,Sunday,Sunday,0 days,0 days,battery/assault,yes
2021-02-08,2020-12-25,Pacific,"embezzlement, grand theft ($950.01 & over)",0,no victim,other business,no weapon,Invest Cont,5500 w  century                      bl,33.9453,-118.3769,09:30:00,morning,Friday,Monday,45 days,1 months,burglary/theft/robbery,no
2021-02-08,2021-02-05,N Hollywood,burglary,66,male,parking lot,no weapon,Invest Cont,4100    tujunga                      av,34.1426,-118.379,01:30:00,midnight,Friday,Monday,3 days,3 days,burglary/theft/robbery,yes
2021-02-09,2021-02-08,Foothill,intimate partner - simple assault,42,female,street,"strong-arm (hands, fist, feet or bodily force)",Adult Arrest,laurel canyon,34.2469,-118.4195,22:00:00,late night,Monday,Tuesday,1 days,1 days,battery/assault,yes
2021-02-10,2021-02-10,Hollenbeck,theft from motor vehicle - petty ($950 & under),51,male,street,no weapon,Invest Cont,2100 e  3rd                          st,34.0426,-118.2137,06:50:00,early morning,Wednesday,Wednesday,0 days,0 days,vehicle burglary/theft,yes
2021-02-10,2021-02-01,West LA,theft of identity,78,female,single family dwelling,no weapon,Invest Cont,1400    avenida de cortez,34.0728,-118.5627,12:00:00,early afternoon,Monday,Wednesday,9 days,9 days,burglary/theft/robbery,yes
2021-02-10,2021-01-28,Wilshire,"theft-grand ($950.01 & over)excpt,guns,fowl,livestk,prod",44,male,other residence,no weapon,Invest Cont,300    hauser                       bl,34.0693,-118.351,10:22:00,morning,Thursday,Wednesday,13 days,13 days,"crimes with firearms, bombs etc.",yes
2021-02-11,2020-03-18,Northeast,theft of identity,31,female,single family dwelling,no weapon,Invest Cont,2500    elsinore                     st,34.0805,-118.2685,08:59:00,morning,Wednesday,Thursday,330 days,11 months,burglary/theft/robbery,yes
2021-02-11,2021-02-11,Wilshire,robbery,0,male,other business,"strong-arm (hands, fist, feet or bodily force)",Invest Cont,6100    wilshire                     bl,34.0665,-118.3662,12:16:00,early afternoon,Thursday,Thursday,0 days,0 days,burglary/theft/robbery,yes
2021-02-12,2021-02-12,Van Nuys,battery - simple assault,45,female,street,unknown weapon/other weapon,Adult Other,5500    wortser                      av,34.1702,-118.4171,18:10:00,early evening,Friday,Friday,0 days,0 days,battery/assault,yes
2021-02-12,2021-02-12,West LA,theft from motor vehicle - attempt,59,male,street,no weapon,Invest Cont,cheviot,34.0373,-118.4136,17:30:00,early evening,Friday,Friday,0 days,0 days,vehicle burglary/theft,yes
2021-02-12,2021-02-12,Olympic,theft from motor vehicle - petty ($950 & under),0,no victim,street,no weapon,Invest Cont,geneva,34.0677,-118.2879,11:15:00,late morning,Friday,Friday,0 days,0 days,vehicle burglary/theft,no
2021-02-12,2020-11-01,West Valley,burglary,22,female,public storage,no weapon,Invest Cont,7600    balboa                       bl,34.2084,-118.5012,00:01:00,midnight,Sunday,Friday,103 days,3 months,burglary/theft/robbery,yes
2021-02-13,2021-02-13,Pacific,"theft-grand ($950.01 & over)excpt,guns,fowl,livestk,prod",30,male,hotel,no weapon,Invest Cont,5400 w  century                      bl,33.9453,-118.3747,01:30:00,midnight,Saturday,Saturday,0 days,0 days,"crimes with firearms, bombs etc.",yes
2021-02-13,2021-02-12,77th Street,intimate partner - simple assault,34,female,"multi-unit dwelling (apartment, duplex, etc)","strong-arm (hands, fist, feet or bodily force)",Adult Other,6600    crenshaw                     bl,33.9796,-118.3309,22:30:00,late night,Friday,Saturday,1 days,1 days,battery/assault,yes
2021-02-14,2021-02-09,Van Nuys,document forgery / stolen felony,53,male,"multi-unit dwelling (apartment, duplex, etc)",no weapon,Invest Cont,15100    dickens                      st,34.1518,-118.462,09:00:00,morning,Tuesday,Sunday,5 days,5 days,others,yes
2021-02-14,2021-02-14,77th Street,intimate partner - simple assault,69,male,"multi-unit dwelling (apartment, duplex, etc)","strong-arm (hands, fist, feet or bodily force)",Invest Cont,200 w  84th                         st,33.9633,-118.2764,06:30:00,early morning,Sunday,Sunday,0 days,0 days,battery/assault,yes
2021-02-15,2021-02-15,Topanga,theft of identity,32,female,parking underground/building,no weapon,Invest Cont,20900    vanowen                      st,34.1938,-118.5892,10:25:00,morning,Monday,Monday,0 days,0 days,burglary/theft/robbery,yes
2021-02-16,2021-02-15,Van Nuys,theft from motor vehicle - petty ($950 & under),46,male,parking underground/building,no weapon,Invest Cont,14600    gault                        st,34.1994,-118.453,16:00:00,late afternoon,Monday,Tuesday,1 days,1 days,vehicle burglary/theft,yes
2021-02-17,2021-02-16,Southeast,vehicle - stolen,0,no victim,street,no weapon,Invest Cont,900 e  98th                         st,33.9475,-118.2587,19:00:00,evening,Tuesday,Wednesday,1 days,1 days,vehicle burglary/theft,no
2021-02-17,2021-02-17,Southeast,vehicle - stolen,0,no victim,parking lot,no weapon,Invest Cont,8800 s  hoover                       st,33.9551,-118.287,17:00:00,early evening,Wednesday,Wednesday,0 days,0 days,vehicle burglary/theft,no
2021-02-18,2021-02-18,Foothill,vehicle - stolen,0,no victim,street,no weapon,Adult Arrest,7900    vineland                     av,34.2139,-118.3703,05:30:00,early morning,Thursday,Thursday,0 days,0 days,vehicle burglary/theft,no
2021-02-18,2021-02-17,Newton,burglary from vehicle,34,male,street,no weapon,Invest Cont,san pedro                    st,34.0233,-118.2602,21:00:00,late night,Wednesday,Thursday,1 days,1 days,vehicle burglary/theft,yes
2021-02-18,2021-02-17,West LA,theft from motor vehicle - grand ($950.01 and over),56,female,parking lot,no weapon,Invest Cont,1700    granville                    av,34.0388,-118.4547,20:00:00,evening,Wednesday,Thursday,1 days,1 days,vehicle burglary/theft,yes
2021-02-18,2021-02-18,Wilshire,"vandalism - felony ($400 & over, all church vandalisms)",38,female,other business,no weapon,Invest Cont,5900    venice                       bl,34.0397,-118.37,09:33:00,morning,Thursday,Thursday,0 days,0 days,vandalism,yes
2021-02-19,2021-02-19,Olympic,intimate partner - simple assault,27,female,"multi-unit dwelling (apartment, duplex, etc)","strong-arm (hands, fist, feet or bodily force)",Adult Arrest,2000    cambridge                    st,34.0446,-118.3025,16:00:00,late afternoon,Friday,Friday,0 days,0 days,battery/assault,yes
2021-02-19,2021-02-18,Olympic,vehicle - stolen,0,no victim,street,no weapon,Invest Cont,washington                   bl,34.0418,-118.3071,19:00:00,evening,Thursday,Friday,1 days,1 days,vehicle burglary/theft,no
2021-02-20,2021-02-20,Pacific,theft plain - petty ($950 & under),35,male,liquor store,no weapon,Invest Cont,venice                       bl,34.0048,-118.4313,09:00:00,morning,Saturday,Saturday,0 days,0 days,burglary/theft/robbery,yes
2021-02-21,2021-02-16,Olympic,criminal threats - no weapon displayed,27,male,sidewalk,"strong-arm (hands, fist, feet or bodily force)",Invest Cont,6th,34.0636,-118.296,20:40:00,evening,Tuesday,Sunday,5 days,5 days,threats,yes
2021-02-21,2021-02-21,N Hollywood,battery - simple assault,29,male,parking lot,"strong-arm (hands, fist, feet or bodily force)",Adult Other,vineland,34.1867,-118.3703,15:27:00,afternoon,Sunday,Sunday,0 days,0 days,battery/assault,yes
2021-02-23,2021-02-20,Central,other miscellaneous crime,0,male,street,no weapon,Invest Cont,figueroa                     st,34.0501,-118.2593,22:30:00,late night,Saturday,Tuesday,3 days,3 days,others,yes
2021-02-23,2021-02-22,West Valley,vehicle - stolen,0,no victim,street,no weapon,Invest Cont,18600    collins                      st,34.1745,-118.5383,20:20:00,evening,Monday,Tuesday,1 days,1 days,vehicle burglary/theft,no
2021-02-24,2021-02-24,Central,robbery,0,no victim,mini-mart,folding knife,Invest Cont,200 s  los angeles                  st,34.0485,-118.2448,23:50:00,late night,Wednesday,Wednesday,0 days,0 days,burglary/theft/robbery,no
2021-02-26,2021-02-26,Newton,"assault with deadly weapon, aggravated assault",26,male,sidewalk,knife with blade 6inches or less,Invest Cont,4000    avalon                       bl,34.0106,-118.2653,18:50:00,early evening,Friday,Friday,0 days,0 days,battery/assault,yes
2021-02-26,2021-02-26,77th Street,battery - simple assault,52,female,street,blunt instrument,Invest Cont,85th                         st,33.9609,-118.294,09:40:00,morning,Friday,Friday,0 days,0 days,battery/assault,yes
2021-02-26,2021-02-26,Southwest,"vandalism - felony ($400 & over, all church vandalisms)",43,female,single family dwelling,"strong-arm (hands, fist, feet or bodily force)",Invest Cont,4200    denker                       av,34.0075,-118.3045,10:30:00,morning,Friday,Friday,0 days,0 days,vandalism,yes
2021-02-27,2021-02-23,Rampart,theft of identity,32,female,automated teller machine (atm),no weapon,Invest Cont,1200 s  lake                         st,34.0481,-118.2836,12:00:00,early afternoon,Tuesday,Saturday,4 days,4 days,burglary/theft/robbery,yes
2021-02-27,2021-02-26,Southwest,theft from motor vehicle - grand ($950.01 and over),47,female,street,no weapon,Invest Cont,hillcrest                    dr,34.0164,-118.3439,19:00:00,evening,Friday,Saturday,1 days,1 days,vehicle burglary/theft,yes
2021-02-27,2021-02-26,West LA,burglary,66,male,single family dwelling,no weapon,Adult Arrest,2400    coolidge                     av,34.0312,-118.4418,21:05:00,late night,Friday,Saturday,1 days,1 days,burglary/theft/robbery,yes
2021-02-27,2021-02-27,Devonshire,intimate partner - aggravated assault,41,female,"multi-unit dwelling (apartment, duplex, etc)","strong-arm (hands, fist, feet or bodily force)",Adult Arrest,21000    parthenia                    st,34.2282,-118.5907,12:30:00,early afternoon,Saturday,Saturday,0 days,0 days,battery/assault,yes
2021-03-01,2020-07-28,Olympic,theft of identity,77,female,single family dwelling,no weapon,Invest Cont,1900 s  harvard                      bl,34.0378,-118.3058,11:05:00,late morning,Tuesday,Monday,216 days,7 months,burglary/theft/robbery,yes
2021-03-01,2021-02-28,West Valley,"bunco, grand theft",48,female,condominium/townhouse,no weapon,Invest Cont,5400    white oak                    av,34.1693,-118.5184,12:00:00,early afternoon,Sunday,Monday,1 days,1 days,burglary/theft/robbery,yes
2021-03-01,2021-03-01,Rampart,burglary from vehicle,51,female,street,no weapon,Invest Cont,james m wood,34.0487,-118.2683,23:10:00,late night,Monday,Monday,0 days,0 days,vehicle burglary/theft,yes
2021-03-01,2021-03-01,Devonshire,intimate partner - simple assault,51,female,street,"strong-arm (hands, fist, feet or bodily force)",Adult Other,jordan                       av,34.2354,-118.604,00:30:00,midnight,Monday,Monday,0 days,0 days,battery/assault,yes
2021-03-02,2021-03-02,Southwest,robbery,21,male,street,shotgun,Adult Arrest,3600    halldale                     av,34.021,-118.3029,15:53:00,afternoon,Tuesday,Tuesday,0 days,0 days,burglary/theft/robbery,yes
2021-03-03,2021-02-28,Newton,criminal threats - no weapon displayed,31,female,"multi-unit dwelling (apartment, duplex, etc)",verbal threat,Invest Cont,6100    avalon                       bl,33.9839,-118.2652,20:40:00,evening,Sunday,Wednesday,3 days,3 days,threats,yes
2021-03-03,2021-03-02,Devonshire,burglary from vehicle,27,female,market,no weapon,Invest Cont,9100    reseda                       bl,34.2354,-118.5361,20:55:00,evening,Tuesday,Wednesday,1 days,1 days,vehicle burglary/theft,yes
2021-03-05,2021-03-04,Hollenbeck,theft from motor vehicle - petty ($950 & under),62,male,street,no weapon,Invest Cont,bullard                      av,34.0746,-118.1672,18:30:00,early evening,Thursday,Friday,1 days,1 days,vehicle burglary/theft,yes
2021-03-06,2021-03-06,Olympic,robbery,19,male,parking lot,"strong-arm (hands, fist, feet or bodily force)",Invest Cont,3000 w  6th                          st,34.0637,-118.2884,00:01:00,midnight,Saturday,Saturday,0 days,0 days,burglary/theft/robbery,yes
2021-03-07,2021-03-07,77th Street,theft plain - petty ($950 & under),26,female,single family dwelling,no weapon,Invest Cont,1700 w  70th                         st,33.9762,-118.3084,08:45:00,morning,Sunday,Sunday,0 days,0 days,burglary/theft/robbery,yes
2021-03-07,2021-03-07,Pacific,theft of identity,63,male,gas station,no weapon,Invest Cont,9800    tabor                        st,34.0288,-118.401,05:45:00,early morning,Sunday,Sunday,0 days,0 days,burglary/theft/robbery,yes
2021-03-08,2021-03-08,Pacific,robbery,25,male,department store,air pistol/revolver/rifle/bb gun,Invest Cont,8900 s  sepulveda                    bl,33.9554,-118.3962,20:55:00,evening,Monday,Monday,0 days,0 days,burglary/theft/robbery,yes
2021-03-08,2021-03-03,Mission,theft of identity,62,male,single family dwelling,no weapon,Invest Cont,11000    noble                        av,34.2693,-118.4595,00:01:00,midnight,Wednesday,Monday,5 days,5 days,burglary/theft/robbery,yes
2021-03-09,2020-12-31,Van Nuys,"embezzlement, grand theft ($950.01 & over)",0,no victim,other business,no weapon,Invest Cont,5800    van nuys                     bl,34.1757,-118.4487,12:00:00,early afternoon,Thursday,Tuesday,68 days,2 months,burglary/theft/robbery,no
