ID,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Order_Date,Time_Orderd,Time_Order_picked,Weather,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Name:
0xc106,KNPRES08DEL03,21.0,4.1,-0.0,0.0,0.06,0.06,15-02-2022,23:10,23:25,Windy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,object
0xdeb3,DEHRES08DEL03,25.0,4.9,30.359722,78.067079,30.389722,78.097079,13-02-2022,22:55,23:10,Cloudy,Low,1,Buffet,motorcycle,0.0,No,Urban,object
0x16f5,CHENRES14DEL01,23.0,4.9,13.026279,80.174568,13.136279,80.284568,06-03-2022,19:60,20:10,Sunny,Jam,0,Meal,motorcycle,0.0,No,Urban,object
0xd507,KOLRES12DEL02,33.0,4.7,22.551084,88.354127,22.681084,88.484127,18-02-2022,22:20,22:25,Cloudy,Low,1,Drinks,scooter,1.0,No,Metropolitian,object
0x53ee,INDORES15DEL01,22.0,4.8,22.760072,75.892574,22.770072,75.902574,11-03-2022,11:25,11:40,Fog,High,1,Drinks,motorcycle,1.0,No,Metropolitian,object
0xa256,COIMBRES15DEL02,31.0,4.8,11.006686,76.951736,11.026686,76.971736,05-03-2022,8:50,8:60,Sandstorms,Low,1,Snack,motorcycle,1.0,No,Metropolitian,object
0x9985,CHENRES17DEL02,31.0,4.6,13.045479,80.23311,13.175479,80.36311,31-03-2022,23:40,23:50,Stormy,Low,2,Drinks,scooter,0.0,No,Metropolitian,object
0x48d1,INDORES15DEL03,20.0,4.9,22.760072,75.892574,22.850072,75.982574,02-03-2022,20:20,20:35,Sandstorms,Jam,2,Meal,scooter,0.0,No,Metropolitian,object
0x9bc2,BANGRES05DEL01,32.0,5.0,12.970324,77.645748,13.010324,77.685748,19-03-2022,16:10,16:20,Stormy,Medium,0,Buffet,motorcycle,1.0,No,Urban,object
0x9d53,HYDRES010DEL01,20.0,4.8,17.428294,78.404423,17.468294,78.444423,03-03-2022,14:50,14:60,Stormy,High,2,Snack,electric_scooter,1.0,No,Urban,object
0x920c,JAPRES14DEL02,38.0,4.7,26.88842,75.800689,26.96842,75.880689,02-03-2022,21:45,21:55,Sunny,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,object
0x1883,VADRES13DEL01,23.0,4.7,22.310237,73.158921,22.380237,73.228921,06-04-2022,17:15,17:30,Sandstorms,Medium,1,Buffet,motorcycle,0.0,No,Urban,object
0xb4f7,COIMBRES05DEL03,21.0,4.9,11.022169,76.999594,11.112169,77.089594,06-04-2022,23:20,23:35,Windy,Low,1,Meal,motorcycle,0.0,No,Metropolitian,object
0xc1e4,KOCRES010DEL03,26.0,4.7,10.035573,76.336958,10.125573,76.426958,12-02-2022,17:50,17:55,Stormy,Medium,1,Buffet,scooter,1.0,No,Metropolitian,object
0x2094,CHENRES18DEL03,37.0,4.9,12.981615,80.231598,13.071615,80.321598,31-03-2022,20:25,20:35,Cloudy,Jam,1,Snack,motorcycle,1.0,No,Urban,object
0x5f79,COIMBRES04DEL02,35.0,4.9,11.024839,77.007003,11.044839,77.027003,15-03-2022,10:60,11:05,Sunny,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,object
0x3383,MUMRES06DEL01,32.0,4.7,19.055831,72.833984,19.065831,72.843984,13-03-2022,10:40,10:55,Windy,Low,1,Snack,motorcycle,1.0,No,Urban,object
0xb80c,PUNERES19DEL01,33.0,4.8,18.563934,73.915367,18.603935,73.955367,01-03-2022,14:15,14:25,Cloudy,High,2,Drinks,scooter,0.0,No,Metropolitian,object
0xcaaa,BHPRES06DEL02,36.0,5.0,23.232357,77.429989,23.252357,77.449989,11-02-2022,9:35,9:40,Sunny,Low,1,Drinks,motorcycle,1.0,No,Urban,object
0x6752,HYDRES11DEL01,21.0,4.9,17.430448,78.418213,17.440448,78.428213,09-03-2022,11:30,11:35,Sandstorms,High,1,Snack,scooter,0.0,No,Urban,object
0x19b6,INDORES15DEL03,36.0,4.6,22.760072,75.892574,22.850072,75.982574,16-03-2022,22:30,22:45,Stormy,Low,1,Meal,motorcycle,0.0,No,Urban,object
0x6098,MYSRES20DEL01,37.0,4.2,12.337978,76.616792,12.407978,76.686792,04-04-2022,18:60,19:10,Stormy,Medium,2,Drinks,scooter,1.0,No,Metropolitian,object
0xaeb5,MUMRES19DEL02,39.0,4.6,19.131141,72.813074,19.181141,72.863074,07-03-2022,19:10,19:25,Cloudy,Jam,2,Drinks,scooter,0.0,No,Metropolitian,object
0x1b36,INDORES02DEL02,20.0,4.7,22.651847,75.881991,22.781847,76.011991,12-03-2022,22:30,22:40,Windy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,object
0xbe44,PUNERES16DEL02,28.0,4.5,18.536718,73.830327,18.556718,73.850327,19-03-2022,11:45,11:55,Stormy,High,1,Buffet,motorcycle,1.0,No,Urban,object
0xacdf,PUNERES03DEL03,35.0,4.6,18.554382,73.798206,18.614382,73.858206,03-04-2022,21:20,21:35,Cloudy,Jam,2,Snack,electric_scooter,1.0,No,Metropolitian,object
0xdc93,KOCRES07DEL02,26.0,4.8,9.985697,76.281128,10.115697,76.411128,18-02-2022,18:15,18:25,Sandstorms,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,object
0x93fe,JAPRES14DEL01,26.0,4.7,26.88842,75.800689,26.99842,75.910689,23-03-2022,18:10,18:20,Sunny,Medium,1,Snack,motorcycle,1.0,No,Urban,object
0x5b50,JAPRES05DEL02,34.0,4.2,26.905287,75.794592,26.925287,75.814592,03-04-2022,10:30,10:35,Stormy,Low,0,Snack,motorcycle,0.0,No,Metropolitian,object
0x831c,COIMBRES08DEL03,39.0,4.9,11.001852,76.976268,11.061852,77.036268,21-03-2022,22:10,22:20,Fog,Low,0,Snack,motorcycle,1.0,No,Metropolitian,object
0x7ebe,MUMRES12DEL02,36.0,5.0,19.207222,72.972281,19.227222,72.992281,26-03-2022,11:35,11:50,Sunny,High,2,Drinks,motorcycle,0.0,No,Metropolitian,object
0xa06f,VADRES18DEL03,34.0,4.6,0.0,0.0,0.06,0.06,26-03-2022,23:45,23:55,Windy,Low,1,Buffet,motorcycle,1.0,No,Metropolitian,object
0x1ab9,COIMBRES20DEL03,32.0,5.0,10.994136,76.963303,11.054136,77.023303,11-03-2022,19:30,19:35,Windy,Jam,1,Buffet,scooter,1.0,No,Metropolitian,object
0x59fb,HYDRES04DEL01,39.0,4.6,17.411028,78.329645,17.421028,78.339645,17-03-2022,8:60,9:15,Stormy,Low,2,Snack,electric_scooter,1.0,No,Metropolitian,object
0xa03e,SURRES14DEL03,23.0,4.9,21.157729,72.768726,21.187729,72.798726,05-04-2022,20:45,20:55,Sandstorms,Jam,0,Meal,motorcycle,0.0,No,Metropolitian,object
0x31b9,HYDRES07DEL02,23.0,4.8,17.424114,78.347554,17.504114,78.427554,20-03-2022,17:10,17:25,Stormy,Medium,2,Drinks,electric_scooter,1.0,No,Metropolitian,object
0xbad5,BANGRES010DEL02,36.0,4.7,12.933298,77.614293,12.983298,77.664293,01-04-2022,18:10,18:25,Cloudy,Medium,1,Drinks,motorcycle,0.0,No,Metropolitian,object
0x1330,MUMRES13DEL01,34.0,5.0,19.178321,72.834715,19.188321,72.844715,03-03-2022,11:25,11:30,Windy,High,1,Buffet,scooter,1.0,No,Metropolitian,object
0x680f,CHENRES19DEL02,35.0,4.3,12.986047,80.218114,13.066047,80.298114,29-03-2022,17:50,17:55,Sunny,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,object
0xc767,DEHRES15DEL02,26.0,4.6,0.0,0.0,0.02,0.02,13-02-2022,11:35,11:40,Cloudy,High,1,Snack,motorcycle,1.0,No,Metropolitian,object
0x8049,HYDRES20DEL02,31.0,4.0,17.483216,78.552111,17.613216,78.682111,12-03-2022,21:35,21:40,Stormy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,object
0xaa43,COIMBRES05DEL02,30.0,5.0,11.022169,76.999594,11.042169,77.019594,05-03-2022,11:60,12:15,Stormy,High,2,Meal,scooter,0.0,No,Urban,object
0x60cf,BANGRES07DEL01,34.0,4.2,12.978453,77.643685,12.988453,77.653685,21-03-2022,9:55,9:60,Windy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,object
0x3989,INDORES07DEL03,36.0,4.7,22.722634,75.886959,22.812634,75.976959,06-03-2022,20:35,20:50,Cloudy,Jam,1,Meal,motorcycle,0.0,No,Metropolitian,object
0x30dd,COIMBRES09DEL01,26.0,4.0,11.008638,76.984311,11.078638,77.054311,31-03-2022,17:15,17:20,Cloudy,Medium,2,Meal,scooter,0.0,No,Metropolitian,object
0x8f22,CHENRES20DEL01,20.0,4.8,12.975996,80.221898,12.985996,80.231898,15-03-2022,9:40,9:45,Cloudy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,object
0x13fc,MYSRES17DEL02,22.0,5.0,12.326356,76.619103,12.346356,76.639103,11-03-2022,9:10,9:15,Sunny,Low,1,Buffet,scooter,0.0,No,Metropolitian,object
0xdc87,BHPRES15DEL03,29.0,2.6,23.234249,77.434007,23.324249,77.524007,12-02-2022,22:35,22:40,Sunny,Low,2,Drinks,scooter,1.0,No,Urban,object
0xcc73,LUDHRES09DEL03,24.0,4.9,30.885814,75.786976,30.945814,75.846976,17-02-2022,18:20,18:25,Cloudy,Medium,2,Drinks,scooter,1.0,No,Urban,object
0xb4b4,CHENRES09DEL01,31.0,4.9,13.044694,80.26147,13.154694,80.37147,04-03-2022,18:45,18:55,Sunny,Medium,1,Meal,motorcycle,1.0,No,Metropolitian,object
0x77ff,JAPRES02DEL01,25.0,5.0,26.914142,75.805704,26.984142,75.875704,02-04-2022,20:15,20:30,Sandstorms,Jam,0,Snack,motorcycle,1.0,No,Urban,object
0x5dee,COIMBRES09DEL02,36.0,4.1,11.008638,76.984311,11.138638,77.114311,16-03-2022,19:15,19:30,Cloudy,Jam,2,Meal,electric_scooter,1.0,No,Metropolitian,object
0x6728,HYDRES20DEL03,34.0,4.6,17.483216,78.552111,17.543216,78.612111,03-03-2022,18:10,18:15,Windy,Medium,1,Buffet,motorcycle,1.0,No,Urban,object
0x6b79,MUMRES15DEL02,34.0,4.7,19.176269,72.836721,19.196269,72.856721,07-03-2022,11:10,11:15,Sandstorms,High,2,Drinks,motorcycle,0.0,No,Urban,object
0x2150,PUNERES03DEL03,22.0,4.7,18.554382,73.798206,18.614382,73.858206,19-03-2022,19:35,19:50,Sandstorms,Jam,1,Buffet,motorcycle,1.0,No,Urban,object
0x5783,SURRES15DEL02,37.0,4.9,21.160522,72.771477,21.180522,72.791477,26-03-2022,9:60,10:05,Sandstorms,Low,2,Meal,motorcycle,0.0,No,Urban,object
0x52bb,RANCHIRES010DEL01,36.0,3.6,23.354422,85.3329,23.424422,85.4029,20-03-2022,21:50,21:55,Stormy,Jam,1,Meal,scooter,0.0,No,Metropolitian,object
0xc0cf,DEHRES04DEL02,29.0,5.0,-30.340722,78.060221,30.360722,78.080221,13-02-2022,11:45,11:55,Windy,High,0,Meal,motorcycle,1.0,No,Metropolitian,object
0x395d,CHENRES14DEL01,38.0,4.7,13.026279,80.174568,13.036279,80.184568,13-03-2022,11:20,11:25,Sandstorms,High,2,Meal,scooter,1.0,No,Metropolitian,object
0x53ef,VADRES02DEL03,28.0,4.9,0.0,0.0,0.06,0.06,03-04-2022,21:55,21:60,Cloudy,Jam,2,Buffet,motorcycle,0.0,No,Metropolitian,object
0xc4d8,DEHRES05DEL02,35.0,4.2,30.346994,78.062543,30.476994,78.192543,12-02-2022,17:45,17:60,Cloudy,Medium,1,Buffet,scooter,1.0,No,Metropolitian,object
0xa0f7,CHENRES16DEL01,38.0,5.0,13.049645,80.242268,13.119645,80.312268,04-04-2022,22:10,22:25,Sunny,Low,2,Meal,electric_scooter,0.0,No,Metropolitian,object
0xe26,MYSRES02DEL02,23.0,4.9,12.304569,76.643622,12.434569,76.773622,27-03-2022,18:35,18:45,Sandstorms,Medium,1,Snack,motorcycle,0.0,No,Metropolitian,object
0x2c8f,SURRES08DEL01,29.0,4.0,21.173343,72.792731,21.183343,72.802731,17-03-2022,9:30,9:40,Sandstorms,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,object
0xa356,INDORES07DEL02,37.0,4.2,22.722634,75.886959,22.852634,76.016959,02-03-2022,17:35,17:50,Windy,Medium,2,Buffet,scooter,1.0,No,Metropolitian,object
0x5d76,RANCHIRES06DEL02,36.0,4.5,23.357804,85.325146,23.377804,85.345146,05-03-2022,10:50,10:60,Windy,Low,2,Buffet,scooter,1.0,No,Metropolitian,object
0x429b,CHENRES13DEL02,24.0,4.8,13.027018,80.254791,13.077018,80.304791,05-03-2022,22:15,22:25,Stormy,Low,1,Drinks,scooter,1.0,No,Metropolitian,object
0xd41f,AGRRES18DEL02,20.0,4.6,27.161694,78.034714,27.181694,78.054714,11-02-2022,9:35,9:45,Fog,Low,1,Buffet,scooter,1.0,No,Metropolitian,object
0xb338,PUNERES14DEL03,34.0,4.6,18.516216,73.842527,18.546216,73.872527,05-04-2022,21:60,22:15,Windy,Jam,2,Buffet,scooter,0.0,No,Metropolitian,object
0x92aa,COIMBRES08DEL03,26.0,4.7,11.001852,76.976268,11.031852,77.006268,30-03-2022,17:10,17:20,Fog,Medium,2,Drinks,scooter,0.0,No,Urban,object
0x465c,SURRES03DEL02,22.0,4.7,21.186884,72.793616,21.266884,72.873616,04-04-2022,20:45,20:55,Windy,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,object
0xd13e,LUDHRES03DEL03,28.0,5.0,30.88722,75.804893,30.94722,75.864893,13-02-2022,23:55,24:10,Sunny,Low,1,Drinks,scooter,1.0,No,Metropolitian,object
0x12b4,MYSRES02DEL02,34.0,4.3,12.304569,76.643622,12.434569,76.773622,06-04-2022,19:30,19:35,Sandstorms,Jam,0,Drinks,motorcycle,0.0,No,Semi-Urban,object
0x5b86,MUMRES010DEL03,22.0,4.8,19.003517,72.82765,19.063517,72.88765,28-03-2022,21:60,22:05,Sandstorms,Jam,1,Meal,scooter,1.0,No,Urban,object
0x1e43,INDORES12DEL01,27.0,4.7,22.74806,75.8934,22.81806,75.9634,16-03-2022,22:50,23:05,Fog,Low,1,Buffet,scooter,0.0,No,Metropolitian,object
0x12ff,CHENRES19DEL02,39.0,4.9,12.986047,80.218114,13.116047,80.348114,23-03-2022,22:35,22:50,Windy,Low,2,Snack,scooter,1.0,No,Metropolitian,object
0x1eed,HYDRES18DEL02,34.0,4.5,17.450851,78.379347,17.470851,78.399347,03-04-2022,9:15,9:25,Stormy,Low,2,Drinks,scooter,1.0,No,Metropolitian,object
0x791b,INDORES17DEL03,33.0,4.6,22.761226,75.887522,22.821226,75.947522,28-03-2022,22:10,22:25,Stormy,Low,1,Snack,scooter,1.0,No,Urban,object
0xaa22,SURRES05DEL01,28.0,4.7,21.175104,72.804342,21.185104,72.814342,15-03-2022,11:25,11:30,Sandstorms,High,0,Drinks,motorcycle,1.0,No,Metropolitian,object
0xa216,RANCHIRES09DEL03,31.0,4.5,23.351058,85.325731,23.381058,85.355731,26-03-2022,18:30,18:35,Sandstorms,Medium,2,Drinks,motorcycle,1.0,No,Urban,object
0x26b3,CHENRES02DEL03,28.0,3.5,13.086438,80.220672,13.146439,80.280672,03-04-2022,20:25,20:40,Sunny,Jam,0,Snack,motorcycle,1.0,No,Semi-Urban,object
0x485d,JAPRES05DEL03,29.0,4.5,26.905287,75.794592,26.965287,75.854592,09-03-2022,19:15,19:20,Windy,Jam,2,Buffet,motorcycle,1.0,No,Metropolitian,object
0x26c5,MUMRES02DEL03,32.0,4.3,19.221315,72.862381,19.251315,72.892381,03-04-2022,20:50,21:05,Stormy,Jam,1,Meal,scooter,1.0,No,Metropolitian,object
0x1227,COIMBRES06DEL02,37.0,4.5,11.021278,76.995017,11.151278,77.125017,18-03-2022,22:10,22:20,Sandstorms,Low,2,Buffet,scooter,1.0,No,Metropolitian,object
0x9047,BANGRES01DEL03,28.0,4.7,12.933284,77.615428,12.993284,77.675428,21-03-2022,17:30,17:40,Windy,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,object
0x986,INDORES09DEL02,27.0,4.8,22.725835,75.887648,22.775835,75.937648,09-03-2022,23:10,23:20,Fog,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,object
0xcf2e,ALHRES19DEL03,27.0,4.7,25.457116,81.859682,25.547116,81.949682,12-02-2022,19:30,19:45,Stormy,Jam,1,Meal,motorcycle,0.0,No,Urban,object
0x2ea5,MUMRES13DEL01,36.0,4.7,19.178321,72.834715,19.188321,72.844715,24-03-2022,8:15,8:25,Cloudy,Low,2,Drinks,motorcycle,1.0,No,Metropolitian,object
0xa005,CHENRES07DEL03,27.0,5.0,13.081878,80.248519,13.141878,80.308519,09-03-2022,19:25,19:35,Sandstorms,Jam,2,Drinks,scooter,0.0,No,Urban,object
0x8bba,VADRES05DEL01,32.0,4.8,22.310526,73.170937,22.350526,73.210937,21-03-2022,12:20,12:35,Sunny,High,1,Buffet,scooter,1.0,No,Metropolitian,object
0x103c,SURRES19DEL03,37.0,3.9,21.149669,72.772629,21.239669,72.862629,06-03-2022,21:25,21:40,Sandstorms,Jam,1,Buffet,scooter,1.0,No,Metropolitian,object
0x98b1,MUMRES02DEL02,27.0,4.5,19.221315,72.862381,19.271315,72.912381,28-03-2022,19:20,19:35,Cloudy,Jam,2,Snack,motorcycle,1.0,No,Metropolitian,object
0x6e8c,INDORES010DEL02,27.0,4.6,22.75004,75.902847,22.80004,75.952847,30-03-2022,21:25,21:35,Stormy,Jam,1,Buffet,motorcycle,0.0,No,Metropolitian,object
0x1ad8,RANCHIRES13DEL03,26.0,4.8,23.374989,85.335486,23.434989,85.395486,09-03-2022,19:20,19:25,Fog,Jam,1,Meal,scooter,1.0,No,Metropolitian,object
0xca5f,KOCRES11DEL02,39.0,4.9,10.006881,76.345397,10.056881,76.395397,17-02-2022,18:30,18:45,Windy,Medium,1,Meal,scooter,1.0,No,Metropolitian,object
0x2d91,PUNERES11DEL01,38.0,4.9,18.533811,73.899315,18.573811,73.939315,15-03-2022,16:10,16:25,Fog,Medium,2,Buffet,scooter,0.0,No,Urban,object
0x5d71,RANCHIRES04DEL01,36.0,4.8,23.359033,85.325347,23.469033,85.435347,18-03-2022,18:15,18:20,Windy,Medium,2,Snack,scooter,0.0,No,Metropolitian,object
0x8006,RANCHIRES03DEL02,30.0,4.1,0.0,0.0,0.13,0.13,06-04-2022,20:45,20:60,Fog,Jam,1,Buffet,motorcycle,1.0,Yes,Metropolitian,object
0xbfae,KOLRES02DEL01,24.0,4.6,22.514585,88.39331,22.584585,88.46331,16-02-2022,22:30,22:45,Stormy,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,object
0xb6d3,MYSRES20DEL03,20.0,4.6,12.337978,76.616792,12.427978,76.706792,23-03-2022,21:50,22:05,Sunny,Jam,2,Meal,electric_scooter,0.0,No,Metropolitian,object
0x6821,RANCHIRES15DEL02,26.0,4.2,23.369746,85.33982,23.449746,85.41982,14-03-2022,19:55,19:60,Fog,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,object
0x3c75,MUMRES17DEL01,31.0,4.6,19.121999,72.908493,19.161999,72.948493,11-03-2022,16:10,16:20,Sandstorms,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,object
0x3d55,MUMRES12DEL02,20.0,5.0,19.207222,72.972281,19.257222,73.022281,01-04-2022,23:20,23:30,Sandstorms,Low,2,Meal,motorcycle,1.0,No,Urban,object
0x3e80,SURRES18DEL01,30.0,5.0,21.149834,72.778666,21.259834,72.888666,12-03-2022,19:45,19:50,Sandstorms,Jam,0,Snack,motorcycle,1.0,Yes,Metropolitian,object
0x5d10,VADRES05DEL02,32.0,4.7,22.310526,73.170937,22.330526,73.190937,11-03-2022,10:25,10:30,Fog,Low,2,Meal,scooter,0.0,No,Urban,object
0xa124,MUMRES16DEL01,24.0,5.0,19.120083,72.907385,19.190083,72.977385,29-03-2022,21:20,21:25,Sandstorms,Jam,1,Snack,motorcycle,1.0,No,Urban,object
0x7397,JAPRES18DEL01,35.0,4.9,26.913987,75.752891,27.023987,75.862891,23-03-2022,18:10,18:20,Sunny,Medium,2,Drinks,electric_scooter,1.0,No,Metropolitian,object
0xbe72,CHENRES07DEL02,39.0,4.9,13.081878,80.248519,13.131878,80.298519,05-03-2022,23:55,24:10,Cloudy,Low,2,Drinks,electric_scooter,0.0,No,Metropolitian,object
0x7aa,HYDRES12DEL03,28.0,4.8,17.429585,78.392621,17.459585,78.422621,24-03-2022,22:35,22:45,Windy,Low,2,Meal,scooter,0.0,No,Metropolitian,object
0xe0ec,KNPRES12DEL01,20.0,4.7,26.492106,80.327797,26.562106,80.397797,14-02-2022,17:35,17:45,Fog,Medium,2,Drinks,scooter,1.0,No,Metropolitian,object
0x8a02,CHENRES14DEL02,33.0,4.5,13.026279,80.174568,13.076279,80.224568,26-03-2022,23:10,23:20,Fog,Low,0,Meal,motorcycle,1.0,No,Metropolitian,object
0xaf1f,MUMRES03DEL03,25.0,4.5,19.22384,72.841347,19.28384,72.901347,05-03-2022,20:20,20:25,Fog,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,object
0x3dff,RANCHIRES06DEL01,23.0,4.9,23.357804,85.325146,23.467804,85.435146,25-03-2022,21:15,21:30,Fog,Jam,0,Drinks,motorcycle,1.0,No,Urban,object
0x2e8b,BANGRES16DEL01,39.0,4.5,13.029198,77.570997,13.099198,77.640997,02-04-2022,18:60,19:05,Windy,Medium,1,Buffet,motorcycle,0.0,No,Metropolitian,object
0xb6fe,SURRES06DEL02,26.0,4.9,21.185047,72.80859,21.205047,72.82859,11-03-2022,8:25,8:40,Sunny,Low,2,Buffet,scooter,0.0,No,Metropolitian,object
0x3135,HYDRES02DEL03,30.0,4.3,17.41233,78.449654,17.47233,78.509654,07-03-2022,19:40,19:55,Sandstorms,Jam,1,Meal,motorcycle,0.0,No,Metropolitian,object
